Date,Close,SMA_20,EMA_20,MACD,MACD_Signal,MACD_Hist,RSI,ROC,BB_Width,ATR,OBV
2010-06-17,32.516963958740234,31.012656211853027,31.597288916313012,-0.20464709757107968,-0.5891923948393047,0.38454529726822506,55.17550268265172,5.978258369503283,11.040686329087578,0.8334189991449606,-277219300
2010-06-18,32.45924377441406,31.113669776916502,31.679379855179782,-0.11891821699749983,-0.4951375592709438,0.37621934227344395,54.71000342799039,3.033389663284448,11.575559072810506,0.7922135449901421,-297402000
2010-06-21,32.45281982421875,31.177163982391356,31.753040804612063,-0.05090897363495017,-0.4062918421437451,0.3553828685087949,54.65473722329311,3.3285023230448907,12.145158448210323,0.7855613347283124,-323483200
2010-06-22,32.0423583984375,31.25605163574219,31.78059486116687,-0.02978858076496138,-0.33099118986798837,0.301202609103027,51.1025921322127,6.569965486006471,12.153767124442346,0.7780100083031932,-352607100
2010-06-23,32.25706100463867,31.3514461517334,31.825972589116564,0.0042254800211907195,-0.26394785589015257,0.2681733359113433,52.8295531201547,8.651461235169712,12.115974966149077,0.766719980000613,-321448000
2010-06-24,31.695838928222656,31.441227531433107,31.813578907126665,-0.013943332923368246,-0.2139469512967957,0.20000361837342745,48.05215261614238,5.0812532972762625,11.33891857954447,0.7585673357391987,-345666700
2010-06-25,31.87856101989746,31.45516414642334,31.819767679771502,-0.013443138225838425,-0.17384618868260426,0.16040305045676584,49.64864507287082,6.07044121143165,11.391611406659601,0.7426066958510231,-313782800
2010-06-28,31.64362907409668,31.487819099426268,31.802992574469137,-0.0316390595583087,-0.14540476285774515,0.11376570329943644,47.62215688196139,1.0202817835869318,11.308067437839547,0.7235907503797575,-337697800
2010-06-29,30.560348510742188,31.48170280456543,31.684645520780855,-0.13195010771250182,-0.14271383182869649,0.010763724116194667,39.59655460863343,-2.5776533814120746,11.385377503788755,0.7567411140469342,-377457100
2010-06-30,30.351520538330078,31.424098014831543,31.557681236737924,-0.22569632149908614,-0.15931032976277443,-0.06638599173631171,38.25803827955213,-3.8527796823751848,11.828316305654129,0.7446398555905684,-417569100
2010-07-01,30.795278549194336,31.3934907913208,31.48507145697187,-0.26117267249941634,-0.1796827983101028,-0.08148987418931353,42.69135380813614,-5.443927474973285,11.968180897376461,0.7292076308178398,-374115500
2010-07-02,30.730022430419922,31.426643466949464,31.413162025871685,-0.2911968239546212,-0.2019856034390065,-0.0892112205156147,42.21135820270426,-5.196236372171768,11.492141619490406,0.7186068265571868,-398696000
2010-07-06,31.343448638916016,31.509387588500978,31.40652265568543,-0.26246725277648153,-0.21408193330650152,-0.04838531946998001,48.11676905847186,-3.608932621487221,10.295021419431961,0.746519832479609,-372470200
2010-07-07,32.32231140136719,31.61734457015991,31.493740631464643,-0.15888133131286963,-0.20304181290777515,0.044160481594905515,55.86700912013325,-0.42185940620961626,9.704882333824028,0.7659125936363554,-341373700
2010-07-08,32.63555908203125,31.746415424346925,31.602485245804317,-0.05092523790449377,-0.1726184979071189,0.12169326000262512,58.02774263737548,0.5630920789081204,8.922356492761619,0.7433673925287299,-310669300
2010-07-09,32.66818618774414,31.81362295150757,31.70398057360811,0.03683882363078084,-0.13072703359953897,0.1675658572303198,58.256986131746324,1.9531264881462604,9.157740717587247,0.7182375687122963,-290862300
2010-07-12,32.544185638427734,31.872385692596435,31.78400010359093,0.09528824313738582,-0.08552397825215402,0.18081222138953984,56.983157674877134,0.890114055176239,9.255118781236487,0.6925727355559287,-310375200
2010-07-13,33.144569396972656,31.951226329803468,31.913578131532045,0.1878899030548311,-0.030841201990756996,0.2187311050455881,61.385677884381884,4.57072763409338,9.808996154441154,0.6915813068598048,-289348000
2010-07-14,33.26202392578125,31.985913944244384,32.04200154050816,0.26766945767511885,0.02886092994241818,0.23880852773270067,62.200704977460084,4.339790949222209,10.309105633528345,0.6696842518848201,-272311900
2010-07-15,33.4251708984375,32.03645505905151,32.173731955549044,0.3401390158638691,0.09111654712670836,0.24902246873716072,63.35761943289514,5.630017404669877,10.966315710232589,0.6633352826134538,-250570900
2010-07-16,32.354942321777344,32.028353977203366,32.19099008566602,0.30766657225124305,0.1344265521516153,0.17324002009962775,52.093797590330546,5.87229497858751,10.922504886424814,0.695662155413657,-279663400
2010-07-19,32.563777923583984,32.033580684661864,32.226493689277255,0.2953782775734908,0.1666168972359904,0.12876138033750037,53.81908760667936,7.288786018018797,10.956524729807647,0.6776687925356946,-264319300
2010-07-20,32.78564453125,32.05022192001343,32.279746150417516,0.30008332278138994,0.19331018234507033,0.10677314043631961,55.64663653028394,6.463217986082272,11.086647250085164,0.6847333335883855,-246670700
2010-07-21,32.19181442260742,32.05769472122192,32.271371700149885,0.25297879599806805,0.2052439050756699,0.04773489092239816,49.94907638021624,4.7568855359521605,11.090687089328448,0.6861658462363937,-264919200
2010-07-22,33.275081634521484,32.10859575271606,32.36696312247099,0.2996050691723866,0.22411613789501325,0.07548893127737336,58.33063761963881,6.162796627321838,11.550035382856606,0.7229203868372787,-239506800
2010-07-23,33.6666374206543,32.20713567733765,32.490741627059876,0.36395654170220837,0.25208421865645225,0.11187232304575612,60.880677002637,4.159127119944294,12.185983951642863,0.7113701659468067,-213157700
2010-07-26,33.90155792236328,32.308285522460935,32.625105083755436,0.42896680616586735,0.2874607361583353,0.14150607000753207,62.36863925018581,3.879200712173719,12.929745604809062,0.696916189060518,-183740800
2010-07-27,33.99945068359375,32.426076602935794,32.755995140882895,0.48282137259690927,0.3265328634460501,0.15628850915085918,63.00019881247918,4.075109919475875,13.500152642663881,0.6746380813400211,-152697000
2010-07-28,33.82324981689453,32.58922166824341,32.857638443360194,0.505456973766627,0.36231768551016547,0.14313928825646155,61.015269384960845,3.930238699709527,12.841651851250957,0.64742548511766,-171169800
2010-07-29,33.9798698425293,32.77063913345337,32.964517624233444,0.5299251308731243,0.39583917458275725,0.13408595629036707,62.15661470827581,2.5201728692029257,11.631368875559641,0.657116320208505,-150856100
2010-07-30,33.875457763671875,32.92464809417724,33.05127382798948,0.5347271379181038,0.42361676724982655,0.11111037066827723,60.87704420787703,1.8442468782398869,10.523150706820232,0.6498003328015791,-176121800
2010-08-02,35.017478942871094,33.139020919799805,33.238531457978205,0.6234970422009383,0.46359282224004894,0.15990421996088933,68.51233272550425,4.763799261555992,9.971652749987898,0.6891541332844618,-155864800
2010-08-03,34.96527099609375,33.32011203765869,33.40298284256064,0.6817759966146326,0.5072294571149657,0.17454653949966692,67.86031886417946,8.067789608017494,9.717536306355116,0.6678965079266,-174247800
2010-08-04,34.997894287109375,33.4538911819458,33.5548791706129,0.7222690468304336,0.5502373750580594,0.17203167177237422,68.06483757342643,7.474920045325904,10.204079308662594,0.645826671019173,-158356400
2010-08-05,34.971805572509766,33.57070350646973,33.68982454222213,0.7436822337627262,0.5889263467989928,0.15475588696373344,67.69385770869854,6.668043506590216,10.633179478276206,0.6220692926398116,-171514900
2010-08-06,35.076210021972656,33.69110469818115,33.82186125457932,0.7603124960313608,0.6232035766454664,0.1371089193858943,68.43530474907116,8.960028041599305,10.97488406877364,0.6107308906769957,-153436200
2010-08-09,35.1153564453125,33.81966323852539,33.94505127274439,0.767800165527845,0.6521228944219422,0.11567727110590287,68.72513799496787,5.53048924418508,11.054846595622509,0.5796927576234872,-139856600
